종목명,신문사,시간,제목,본문
바른손이앤에이,매일경제,2014.12.17. 오후 4:15,"[게임스톡] 바른손이앤에이, 급작스런 상한가","바른손이앤에이(035620)가 게임주의 급등 분위기를 타고 상한가를 기록했다. 17일 바른손이앤에이는 가격제한폭까지 오른 1265원에 장을 마감했다. 최근 나흘간 약세 흐름을 보이는 등 이달들어 하락세가 뚜렷한 상황이었다.

이날 상승세에는 웹젠, 컴투스 등의 상한가에 적지 않은 영향을 받은 것으로 풀이된다. 이날 다수의 게임주가 상승세를 보이기도 했다.

한편 바른손이앤에이는 내년 상반기 중 스마트폰 메신저 라인을 통해 모바일게임 ‘배틀리그’를 해외 시장에 선보일 예정이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2014.12.18. 오전 10:33,"[게임스톡] 바른손이앤에이, 상한가 하루만에 약세 전환","바른손이앤에이(035620)가 약세다. 18일 오전 10시 20분 바른손이앤에이는 전거래일 대비 4.35% 하락한 1210원에 거래되고 있다. 전일에는 상한가를 기록했다.

바른손이앤에이는 전일 게임주의 급등세와 맞물리면서 상한가를 기록했으나 특별한 호재가 없었던 탓에 다시 약세 흐름을 보이는 것으로 보인다.

바른손이앤에이는 모바일게임 출시 기대감에 상승세를 보이다가 지난 11월 말부터 약세 흐름을 이어오는 상황이다.

한편 바른손이앤에이는 모바일게임 배틀리그를 스마트폰 메신저 라인을 통해 내년 상반기에 해외에 서비스할 예정이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2014.12.18. 오후 4:05,"[게임스톡] 바른손이앤에이, 급락…외인 대량 매도","바른손이앤에이(035620)가 급락세를 기록했다. 18일 바른손이앤에이는 전거래일 대비 12.65% 하락한 1105원에 장을 마감했다. 전일에는 상한가였다.

바른손이앤에이는 최근 약세 흐름을 지속했으나 전일 웹젠 등 일부 게임주가 급등하면서 동반 상승하는 모습을 연출했다. 하지만 이날 약세 흐름을 보였고 특히 외국인과 외국계가 대량 매도세를 보이면서 급락했다. 외국인은 47만주 가량, 외국계는 26만주 가량을 팔았다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2014.12.23. 오전 10:21,"[게임스톡] 바른손이앤에이, ‘강세’…BW 만기전 취득","바른손이앤에이(035620)가 강세를 보이고 있다.

23일 오전 10시 8분 바른손이앤에이는 전거래일 대비 3.70% 오른 1120원에 거래되고 있다. 전일에는 2.26% 하락했다.

한편 바른손이앤에이는 전일 공시를 통해 42억1489만원 규모의 신주인수권부사채(BW)를 만기전 취득한다고 밝혔다.

이번 취득은 채권자의 조기상환요청에 의한 것이며 취득한 사채권은 전량 소각 예정이다. 단 해당 취득은 사채만으로 신주인수권은 그대로 남는다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,이데일리,2014.12.23. 오후 5:16,"바른손이앤에이, 17억 규모 3자배정 유증","[이데일리 정병묵 기자] 바른손이앤에이(035620)는 운영자금 마련을 위해 박용현씨 등 21명을 대상으로 제3자 배정 유상증자를 실시한다고 23일 공시했다.

보통주 161만2460주를 발행, 17억원을 조달한다.

정병묵 (honnezo@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
바른손이앤에이,머니투데이,2014.12.23. 오후 5:32,"바른손이앤에이, 17억 규모 유상증자","[머니투데이 박진영 기자]바른손이앤에이는 17억원 규모 운영자금 마련을 위해 박용현씨 등 21명을 대상으로 제3자배정 유상증자를 실시한다고 23일 공시했다. 이번 유증으로 161만2460주의 신주가 발행되며 신주 발행가액은 1088원이다.

[박진영 기자 트위터 계정 @zewapi]


[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹][Ten Lines News 티타임즈 ]['취업의 모든 것' 잡드림 ]

박진영기자 jyp@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바른손이앤에이,한국경제,2014.12.24. 오전 3:31,[코스닥 증자공시] (23일) 바른손이앤에이,"▲바른손이앤에이=제3자 배정 방식으로 17억원 규모 유상증자 결정.

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한국경제신문, 무단 전재 및 재배포 금지"
바른손이앤에이,서울경제,2014.12.24. 오전 9:52,"[특징주]바른손이앤에이, 자금 유치 소식에 강세","바른손이앤에이(035620)가 유상증자를 통한 자금유치 소식에 강세를 보이고 있다.

바른손이앤에이는 24일 오전 9시 49분 현재 코스닥 시장에서 전날 보다 40원(3.69%) 오른 1,125원에 거래되고 있다.

바른손이앤에이는 전날 공시를 통해 운영자금 조달을 위해 18억원 규모의 제3자 배정 유상증자를 결정했다고 밝혔다. 신주 발행가액은 주당 1,088원이며, 내년 1월 13일 상장할 예정이다.

박준석기자 pjs@sed.co.kr

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
바른손이앤에이,헤럴드경제,2014.12.24. 오전 10:03,"<생생코스닥>바른손이앤에이, 유상증자 통한 자금유치 소식에 강세","[헤럴드경제=손수용 기자]바른손이앤에이가 유상증자를 결정했다는 소식에 강세를 나타내고 있다.

바른손이앤에이는 코스닥시장에서 24일 오전 9시 50분 현재 전거래일보다 4.15%(45원) 오른 1130원에 거래되고 있다.

지난 23일 바른손이앤에이는 운영자금 조달을 위해 18억원 규모의 제3자 배정 유상증자를 결정했다고 공시했다. 신주발행가액은 주당 1088원이며 신주상장예정일은 내년 1월 13일이다.

feelgood@heraldcorp.com

미래 엘리트를 위한 영어신문 주니어헤럴드
[헤럴드경제 뉴스스탠드] [헤럴드TV 증권방송] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
바른손이앤에이,매일경제,2014.12.24. 오전 11:03,"[게임스톡] 바른손이앤에이, 3자 유증 소식에 강세","바른손이앤에이(035620)가 강세다. 24일 오전 10시 40분 바른손이앤에이는 전거래일 대비 3.23% 오른 1120원에 거래되고 있다. 전일에는 강보합세였다.

이날 상승세에는 제3자 배정 유상증자 결정이 영향을 주는 것으로 보인다. 지난 23일 바른손이앤에이는 공시를 통해 17억5436만원 규모 제3자 배정 유상증자를 결정했다고 밝혔다. 신주는 보통주 161만2460주(주당 1088원)이며 상장 예정일은 내년 1월 13일이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2014.12.24. 오후 3:36,"[게임스톡] 바른손이앤에이, 반등 성공…자금 유치 힘됐나?","바른손이앤에이(035620)가 자금 유치 소식에 힘입어 강세를 기록했다. 24일 바른손이앤에이는 전거래일 대비 2.30% 오른 1110원에 장을 마감했다. 전일에는 0.46% 오르며 강보합세였다.

이날 상승세에는 제3자 배정 유상증자 결정이 영향을 줬다. 전일 바른손이앤에이는 공시를 통해 17억5436만원 규모 제3자 배정 유상증자를 결정했다고 밝혔다. 신주는 보통주 161만2460주(주당 1088원)이며 상장 예정일은 내년 1월 13일이다.

한편 이날 외국인 투자자들은 1만7천주 가량을 순매도하며 이틀째 매도세를 보였다. 전일에는 8만8천주 가량을 팔았다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2014.12.30. 오후 5:15,"[게임스톡] 바른손이앤에이, 급상승…외인 ‘사자’","바른손이앤에이(035620)가 급등했다. 외국인 투자자들의 대량 매수세도 유입됐다.

30일 바른손이앤에이는 9.62% 오른 1140원에 장을 마감했다. 최근 이틀간은 약세를 이어왔다.

이날 상승세에는 외국인 투자자들의 매수세가 영향을 준 모습이다. 이날 외국인 투자자들은 56만9천주 가량을 사들였다. 외국계도 63만5천주 가량을 순매수했다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.02. 오전 10:42,"[게임스톡] 바른손이앤에이, 급등세 보이더니 ‘강보합’","바른손이앤에이(035620)가 강보합세를 보이고 있다. 2일 오전 10시 37분 바른손이앤에이는 전거래일 대비 0.44% 오른 1145원에 거래되고 있다.

바른손이앤에이는 지난해 12월 30일 9.62% 급등한데 이어 새해 첫날인 2일 초반에도 5% 이상 오르면서 상승세를 보였으나 상승폭이 줄어들며 강보합권에 머무르는 모습이다. 외국계 창구를 통해 매도 물량이 나오는 것으로 보인다.

한편 이날 코스닥 시장은 오전 10시에 개장했다. 폐장은 동일한 오후 3시다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.05. 오전 10:26,"[게임스톡] 바른손이앤에이, 이틀째 보합세… 상승 마감?","바른손이앤에이(035620)가 보합세다. 5일 오전 10시 15분 바른손이앤에이는 전거래일 대비 0.44% 오른 1150원에 거래되고 있다. 전일에도 0.44% 올랐다.

바른손이앤에이는 지난 12월 30일 9.62% 상승하며 급등세를 보인바 있다. 당시 외국인 투자자들이 56만주 가량을 순매수하며 상승세를 견인했다. 하지만 외국인 투자자들은 지난 2일에는 32만주 가량을 순매도했다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.05. 오후 4:03,"[게임스톡] 바른손이앤에이, 외국계 창구 매수세 덕에 ‘강세’","바른손이앤에이(035620)가 강세를 이어갔다. 5일 바른손이앤에이는 전거래일 대비 4.80% 오른 1200원에 장을 마감했다. 전일에는 0.44% 올랐다.

이날 바른손이앤에이는 이날 약세로 출발해 오전중 보합권에 머물렀으나 오후 들어 상승폭을 높였다.

이날 상승세에는 외국계 창구의 매수세도 힘을 보탰다. 이날 외국계는 23만주 가량을 순매수했다. 전일에는 31만주 가량의 순매도세를 보였다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.06. 오전 10:25,"[게임스톡] 바른손이앤에이, 상승세 잇는다…강보합권 형성","바른손이앤에이(035620)가 보합세다. 6일 오전 10시 17분 바른손이앤에이는 전거래일 대비 0.83% 오른 1210원에 거래되고 있다. 전일에는 4.80% 올랐다.

바른손이앤에이는 지난 12월 부진한 주가흐름을 보여왔지만 최근 들어오름세를 보이고 있다. 지난 12월 30일에는 9.62% 상승하기도 했다.

이날도 장초반 강세 흐름을 보이는 등 강보합권을 오가며 상승하는 모습을 연출 중이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.06. 오후 4:55,"[게임스톡] 바른손이앤에이, 보합 마감…외인 매도","바른손앤에이(035620)가 보합세로 마감했다. 외국인 투자자들은 매도세를 보였다.

6일 바른손이앤에이는 0.42% 오른 1205원에 장을 마감했다. 이날 장초반 강세를 보이기도 했으나 보합권에 머무르며 약세와 강세를 반복하다가 소폭 상승한 채로 장을 마쳤다.

이런 가운데 외국인 투자자들은 대량 매도세를 보여 눈길을 끌었다. 이날 외국인은 33만6천주 가량을 순매도했다. 외국계도 33만1천주 가량을 팔았다. 지난 2일에도 외국인 투자자들은 32만9천주 가량을 순매도한 바 있다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.08. 오전 10:48,"[게임스톡] 바른손이앤에이, 엿새만에 약세 전환","바른손이앤에이(035620)가 약세다. 8일 오전 10시 28분 바른손이앤에이는 1.20% 하락한 1230원에 거래되고 있다.

바른손이앤에이는 최근 외국인 투자자들의 매도세 속에서도 상승세를 보여왔다. 그러나 이날은 약세로 출발해 소폭의 하락세를 유지하는 모습이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.22. 오전 11:00,"[게임스톡] 바른손이앤에이, 신작 모바일게임 기대에 ‘강세’","바른손이앤에이(035620)가 강세다. 22일 오전 9시 59분 현재 바른손이앤에이는 전거래일 대비 2.55% 오른 1205원에 거래되고 있다. 최근 이틀간은 약세였다.

이날 상승세는 신작 모바일게임 ‘루팅크라운’이 출시될 것이라는 기대감 때문으로 풀이된다. 이 게임은 지난해 사전예약 이벤트를 진행했으나 출시가 지연된바 있다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.23. 오전 10:40,"[게임스톡] 바른손이앤에이, 이틀째 강세 이어가나","바른손이앤에이(035620)가 이틀째 상승세다. 23일 오전 10시 4분 바른손이앤에이는 전거래일 대비 7.04% 오른 1445원에 거래되고 있다. 전일에는 상한가를 기록했다.

바른손이앤에이는 전일 모바일게임 ‘루팅크라운’이 출시될 것이라는 기대감과 함께 급등세를 보인바 있다. 또 외국인 투자자들이 대량 매수세를 보이며 상승세를 부추겼다. 외국인은 전일 39만주 가량을 사들였다.

‘루팅크라운’은 ‘클래스오브클랜’ 등과 같은 영지 약탈 전략 게임으로 바른손이앤에이는 1분기 중 이 게임을 출시한다는 방침이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.23. 오후 3:38,"[게임스톡] 바른손이앤에이, 이틀째 상승…외인은 매도","바른손이앤에이(035620)가 이틀째 상승세를 이어갔다. 반면 전일 대량 매수세를 보인 외국인 투자자들은 매도세를 보였다.

23일 바른손이앤에이는 전거래일 대비 7.04% 오른 1445원에 장을 마감했다. 전일에는 상한가를 기록했다.

신작 모바일게임 ‘루팅크라운’이 1분기 내에 출시될 예정인 가운데 이에 따른 기대감이 작용한 것으로 풀이된다.

그러나 이날 외국인 투자자들은 33만9천주 가량을 순매도했다. 전일에는 39만1천주 가량을 사들이며 상승세에 힘을 보탠바 있다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.26. 오전 10:18,"[게임스톡] 바른손이앤에이, 급등세 꺾이나 ‘약보합’","바른손이앤에이(035620)가 약보합에 머무르고 있다. 26일 오전 10시 13분 바른손이앤에이는 전거래일 대비 0.69% 하락한 1435원에 거래되고 있다.

바른손이앤에이는 신작 모바일게임 ‘루팅크라운’의 출시가 이슈가 되면서 지난 22일 상한가, 23일 7.04% 오르는 등 급등세를 보였다.

‘루팅크라운’은 클래시오브클랜과 같은 약탈 게임으로 기대를 모으고 있다. 바른손이앤에이는 1분기 중 이 게임을 출시한다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.26. 오후 4:09,"[게임스톡] 바른손이앤에이, 사흘째 강세…상승폭은 떨어져","바른손이앤에이(035620)가 사흘째 강세를 기록했다. 26일 바른손이앤에이는 전거래일 대비 1.38% 오른 1465원에 장을 마감했다. 최근 3거래일 연속 강세 흐름이다.

다만 상승세는 떨어지는 모습이다. 바른손이앤에이는 지난 22일 신작 모바일게임 ‘루팅크라운’의 출시기대감으로 상한가를 기록한뒤 23일에는 7.04% 오르는데 그쳤다.

한편 이날 외국인 투자자들은 24만1천주 가량을 순매수했다. 외국계도 43만주 가량을 사들였다. 외국인 투자자 및 외국계는 지난 22일에도 30만주 이상의 대량 매수세를 보였으나 23일 대부분을 매도한바 있다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.27. 오후 5:44,"[게임스톡] 바른손이앤에이, 나흘만에 약세 전환","바른손이앤에이(035620)가 나흘만에 약세 전환했다. 27일 바른손이앤에이는 전일 대비 3.41% 하락한 1415원에 장을 마감했다. 최근 사흘간은 강세를 보여왔다.

바른손이앤에이는 지난 22일 신작 모바일게임 ‘루팅크라운’이 출시를 앞뒀다는 소식에 기대감을 모으며 상한가를 기록했으나 이후 상승폭이 지속적으로 꺾여 왔다.

또한 이날 약세 흐름에는 외국인 투자자들의 매도세도 영향을 준 것으로 보인다. 외국인 투자자들은 19만9천주 가량을 순매도했다. 다만 외국계는 전일에 이어 매수세를 유지했다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,매일경제,2015.01.28. 오후 12:27,"바른손이앤에이, 관리종목 지정 우려…30분간 거래정지","바른손이앤에이가 관리종목지정우려로 주권매매거래가 정지됐다.

한국거래소는 28일 오전 공지를 통해 바른손이앤에이의 주권매매를 11시56분부터 이후 30분 경과시점까지 정지한다고 밝혔다.





정지 사유는 관리종목지정 우려 사유가 발생했기 때문이다. 바른손이앤에이는 지난해 연결기준 매출액이 30억원에 못미치는 것으로 파악되고 있다.

바른손이앤에이가 공시한 바에 따르면 바른손이앤에이는 내부결산시점에 관리종목 지정 또는 상장폐지 사유가 발생한 상황이다.

공시에 밝힌 지난해 바른손이앤에이의 실적은 연결 기준 매출 21억원에 영업손실 68억원, 당기순손실 227억원이다. 개별 기준으로는 매출은 21억원, 영업손실은 56억원, 당기순손실은 212억원이었다. 매출 감소 및 부실 자산에 대산 손상 반영에 따른 결과라는 설명이다.

자본잠식률은 지난해 반기 기준 7.2%였으나 전체로는 34%로 높아졌다. 최근 3년간 영업손실도 2012년 12억원에서 2013년 42억원, 2014년 56억원으로 꾸준히 증가세를 보였다.

한편 이번 실적 정보는 외부감사인의 감사가 종료되기 이전의 정보로 감사 결과에 따라 일부 수정이 있을 수 있다는 설명이다.

[매경게임진 임영택기자 ytlim@mkinternet.com]




▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,머니투데이,2015.01.28. 오후 12:30,"바른손이앤에이, 관리종목 지정 우려로 30분 거래정지","[머니투데이 최동수 기자] 바른손이앤에이는 매출액 30억원이 미달돼 관리종목 지정 또는 상장폐지 사유가 발생했다고 28일 공시했다.

한국거래소는 관리종목지정우려로 이날 오전 11시56분부터 낮 12시25분까지 30분간 바른손이앤에이의 매매거래를 정지시켰다.


[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹][Ten Lines News 티타임즈 ]['취업의 모든 것' 잡드림 ]

최동수 기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바른손이앤에이,파이낸셜뉴스,2015.01.28. 오후 12:36,"[공시]바른손이앤에이, 관리종목 지정 또는 상폐 사유 발생...30분 거래정지","바른손이앤에이는 내부결산시점 관리종목 지정 또는 상장폐지 사유가 발생했다고 28일 공시했다. 이 회사는 지난해 56억1966만원의 영업손실을 냈으며, 최근 4사업연도 동안 영업손실이 발생했다. 자본잠식률은 지난해 반기 기준 7.2%였다. 이에 한국거래소는 이날 바른손이앤에이의 주권매매를 11시56분부터 이후 30분 경과시점까지 정지한다고 밝혔다.
bsk730@fnnews.com 권병석 기자



※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
바른손이앤에이,아시아경제,2015.01.28. 오후 12:43,"바른손이앤에이, 매출 30억 미만…관리종목 지정 대상","[아시아경제 박민규 기자] 바른손이앤에이는 지난해 매출이 21억원에 그쳐 관리종목 지정 사유가 발생했다고 28일 공시했다. 영업손실은 68억원, 당기순손실은 227억원을 기록했다.

한국거래소는 이에 따라 바른손이앤에이의 주식 거래를 30분간 정지시켰다.

박민규 기자 yushin@asiae.co.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
바른손이앤에이,머니투데이,2015.01.28. 오후 1:01,"[특징주]바른손이앤에이, 관리종목 지정사유 발생에 '下'","[머니투데이 최동수 기자] 바른손이앤에이가 관리종목 지정 우려에 하한가를 기록 중이다.
바른손이앤에이는 오후 12시59분 현재 코스닥 시장에서 전일대비 14.84% 하락한 1205원에 거래되고 있다.

이날 오전 바른손이앤에이는 매출액 30억원이 미달돼 관리종목 지정 또는 상장폐지 사유가 발생했다고 공시했다.

한국거래소는 관리종목지정우려로 이날 오전 11시56분부터 낮 12시25분까지 30분간 바른손이앤에이의 매매거래를 정지시켰다. 주가는 매매거래 정지가 풀린 12시26분부터 매물이 쏟아지면서 바로 하한가로 직행했다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹][Ten Lines News 티타임즈 ]['취업의 모든 것' 잡드림 ]

최동수 기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
